Company,2018,2019,2020,2021,2022
HOLCIM,72.59,70.16,70.12,67.77,74.04
HUBER+SUHNER 'R',41.59,38.71,44.3,40.95,49.56
IMPLENIA 'R',62.97,66.37,63.88,53.92,61.13
INFICON,12.42,24.85,57.22,56.79,55.81
INTERROLL,8.21,8.12,19.32,19.54,37.4
INTERSHOP,11.11,8.35,8.54,9.17,16.05
INVESTIS HOLDING,0.0,0.0,1.4,1.33,5.83
JULIUS BAER GRUPPE,82.16,85.22,84.8,87.13,85.7
JUNGFRAUBAHN 'R',0.0,13.48,18.21,16.15,10.81
KARDEX HOLDING AG,0.0,0.0,18.46,17.65,21.61
KOMAX,19.77,26.07,25.67,20.73,30.44
KUDELSKI 'B',0.0,28.84,28.16,27.57,28.01
KUEHNE UND NAGEL INTERNATIONAL,68.98,75.82,73.75,75.47,68.54
LEM 'R',11.85,50.42,51.03,56.44,57.54
LEONTEQ,0.0,0.0,21.67,56.75,59.65
LIECHTENSTEINISCHE LANDESBANK,58.92,64.83,64.12,72.37,71.91
LOGITECH 'R',55.46,54.35,57.61,64.35,65.37
LONZA GROUP,73.16,76.55,51.59,53.68,53.73
METALL ZUG,60.22,63.27,34.07,40.26,38.1
MEYER BURGER,72.36,63.33,72.3,60.73,58.7
MOBILEZONE HOLDING,1.88,12.08,18.73,45.63,47.46
MOBIMO HOLDING,70.04,78.92,76.55,71.39,72.08
MOLECULAR PARTNERS,0.0,0.0,0.0,0.0,0.0
NESTLE 'N',98.02,97.87,97.9,87.84,86.79
NOVARTIS 'R',83.4,84.76,83.42,85.89,84.84
OC OERLIKON CORPORATION,45.53,62.62,69.55,72.11,72.92
ORASCOM DEV.HOLDING,0.0,0.0,0.0,0.0,9.28
ORIOR,43.35,50.23,48.87,33.16,51.38
PARTNERS GROUP HOLDING,56.08,82.45,82.58,85.14,83.41
PSP SWISS PROPERTY AG,38.32,37.29,28.91,55.67,55.99
RICHEMONT,52.75,53.73,53.71,68.57,68.77
RIETER HOLDING 'R',55.97,58.54,59.66,50.83,38.33
ROCHE HOLDING,93.49,93.87,94.35,94.14,94.4
SCHINDLER 'R',62.81,63.34,63.59,43.38,43.42
SCHWEITER,0.0,9.93,30.8,30.73,33.88
SCHWEIZERISCHE NAT.BK.,33.69,34.5,33.54,39.47,40.83
SFS GROUP,22.86,23.27,26.88,29.1,27.65
SGS 'N',76.38,75.98,77.11,77.04,77.0
SIEGFRIED 'R',51.05,52.42,49.15,53.67,56.79
SIKA,80.84,84.72,91.08,88.25,89.33
SONOVA,72.1,75.63,76.1,76.44,78.09
STRAUMANN HLDG.,43.58,40.4,45.58,54.43,52.69
SULZER 'R',58.55,61.73,62.99,86.57,91.41
SWISS LIFE HOLDING,93.14,89.95,96.54,96.62,96.91
SWISS PRIME SITE,49.25,56.01,57.85,53.28,49.29
SWISS STEEL HOLDING AG,43.25,40.61,47.47,49.64,57.41
SWISSCOM 'R',85.7,87.33,85.59,84.5,85.86
SWISSQUOTE 'R',15.84,14.96,30.48,31.18,39.63
TECAN 'R',31.6,38.03,41.45,41.27,42.92
TEMENOS,40.08,48.24,51.79,52.05,51.98
THE SWATCH GROUP,44.57,55.42,54.97,87.39,90.83
TX GROUP AG,0.0,0.0,0.0,30.06,38.28
U-BLOX HOLDING,33.65,37.34,37.65,36.0,34.89
UBS GROUP,99.15,98.66,97.63,97.52,98.48
VALIANT 'R',58.54,57.07,55.96,55.91,53.59
VAT GROUP,2.63,3.6,10.86,29.92,31.3
VETROPACK 'B',29.86,29.07,34.59,40.3,42.41
VONTOBEL HOLDING,89.74,87.74,87.18,85.96,85.34
VZ HOLDING 'N',15.84,13.89,13.55,12.31,41.11
ZURICH INSURANCE GROUP,92.36,90.84,89.37,86.52,85.71
